ID,Name,Country,Latitude,Longitude,Region,cyan,magenta,yellow,black,earthResonance,activeLayer,layerFrequency,layerDepth,tectonicZone,tectonicAmplification,isDeepSubduction,pWaveVelocity
163,Citadelle de Lille,France,50.6333,3.0667,Europe,0.6953,0.5064,0.7676,0.4073,0.4515,upper_crust,20.8,10,,1.0,False,6.3857
164,Fort de l'Étoile,France,44.2,5.95,Europe,0.6953,0.6118,0.8021,0.5556,0.4817,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
165,Fort Barraux,France,45.4167,5.9667,Europe,0.6953,0.6122,0.7962,0.5556,0.4809,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
166,Fort de Joux,France,46.8667,6.3667,Europe,0.6953,0.6121,0.7894,0.5556,0.48,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
167,Fort de Douaumont,France,49.3167,5.4667,Europe,0.6953,0.6145,0.7764,0.5556,0.4787,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
168,Komárno Star Fort,Slovakia,47.7667,18.1167,Europe,0.7136,0.6037,0.7908,0.5556,0.4843,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
169,Festung Ehrenbreitstein,Germany,50.3667,7.6167,Europe,0.6953,0.4988,0.7729,0.4073,0.4509,upper_crust,20.8,10,,1.0,False,6.3857
170,Festung Ulm,Germany,48.4,9.9833,Europe,0.6953,0.6068,0.7844,0.5556,0.4782,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
171,Festung Ingolstadt,Germany,48.7667,11.4333,Europe,0.7082,0.6046,0.7834,0.5556,0.4818,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
172,Festung Germersheim,Germany,49.2167,8.3667,Europe,0.6953,0.6097,0.7792,0.5556,0.4781,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
173,Festung Landau,Germany,49.2,8.1167,Europe,0.6953,0.6101,0.7791,0.5556,0.4782,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
174,Festung Rastatt,Germany,48.85,8.2,Europe,0.6953,0.6099,0.781,0.5556,0.4784,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
175,Zitadelle Spandau,Germany,52.5333,13.2,Europe,0.6953,0.4912,0.765,0.4073,0.4484,upper_crust,20.8,10,,1.0,False,6.3857
176,Festung Küstrin,Poland,52.5833,14.65,Europe,0.6953,0.4912,0.7653,0.4073,0.4484,upper_crust,20.8,10,,1.0,False,6.3857
177,Festung Silberberg,Poland,50.5833,16.65,Europe,0.7082,0.4912,0.7761,0.4073,0.4544,upper_crust,20.8,10,,1.0,False,6.3857
178,Twierdza K?odzko,Poland,50.4333,16.65,Europe,0.7082,0.4912,0.7769,0.4073,0.4545,upper_crust,20.8,10,,1.0,False,6.3857
179,Twierdza Nysa,Poland,50.4667,17.3333,Europe,0.7082,0.4912,0.7768,0.4073,0.4545,upper_crust,20.8,10,,1.0,False,6.3857
180,Twierdza Modlin,Poland,52.45,20.6833,Europe,0.6953,0.4912,0.7668,0.4073,0.4486,upper_crust,20.8,10,,1.0,False,6.3857
181,Twierdza Przemy?l,Poland,49.7833,22.7667,Europe,0.7082,0.6037,0.7803,0.5556,0.4812,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
182,Twierdza Boyen,Poland,54.0333,21.7667,Europe,0.6953,0.4912,0.7585,0.4073,0.4474,upper_crust,20.8,10,,1.0,False,6.3857
183,Twierdza Pozna?,Poland,52.4,16.9333,Europe,0.7082,0.4912,0.7668,0.4073,0.4531,upper_crust,20.8,10,,1.0,False,6.3857
184,Twierdza Zegrze,Poland,52.4667,21.0333,Europe,0.6953,0.4912,0.7667,0.4073,0.4486,upper_crust,20.8,10,,1.0,False,6.3857
185,Akershus Fortress,Norway,59.9069,10.7364,Europe,0.6953,0.4966,0.7258,0.4073,0.4439,upper_crust,20.8,10,,1.0,False,6.3857
186,Bohus Fortress,Sweden,57.8667,11.9833,Europe,0.6953,0.494,0.737,0.4073,0.4449,upper_crust,20.8,10,,1.0,False,6.3857
187,Varberg Fortress,Sweden,57.1,12.25,Europe,0.6953,0.4933,0.741,0.4073,0.4454,upper_crust,20.8,10,,1.0,False,6.3857
188,Karlskrona Naval Base,Sweden,56.1667,15.5833,Europe,0.6953,0.4912,0.747,0.4073,0.4458,upper_crust,20.8,10,,1.0,False,6.3857
189,Benten Daiba,Japan,35.6333,139.7667,Asia,0.718,0.6262,0.8396,0.5693,0.4977,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857
190,Cabo de Rama Fort,India,15.0833,74.05,Asia,0.6953,0.4912,0.8735,0.4073,0.4646,upper_crust,20.8,10,,1.0,False,6.3857
191,Corjuem Fort,India,15.6667,73.9,Asia,0.6953,0.4912,0.8723,0.4073,0.4644,upper_crust,20.8,10,,1.0,False,6.3857
192,Colombo Fort,Sri Lanka,6.9333,79.8333,Asia,0.6953,0.4912,0.8977,0.4073,0.4684,upper_crust,20.8,10,,1.0,False,6.3857
193,Karlsborg Fortress,Sweden,58.5167,14.5167,Europe,0.6953,0.4912,0.7345,0.4073,0.4441,upper_crust,20.8,10,,1.0,False,6.3857
194,Festung Wesel,Germany,51.6667,6.6167,Europe,0.6953,0.5009,0.7656,0.4073,0.4502,upper_crust,20.8,10,,1.0,False,6.3857
195,Festung Minden,Germany,52.2833,8.9167,Europe,0.6953,0.4974,0.7641,0.4073,0.4494,upper_crust,20.8,10,,1.0,False,6.3857
196,Festung Saarlouis,Germany,49.3167,6.75,Europe,0.6953,0.6124,0.7775,0.5556,0.4784,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
197,Zitadelle Jülich,Germany,50.9167,6.3667,Europe,0.6953,0.5011,0.7691,0.4073,0.4508,upper_crust,20.8,10,,1.0,False,6.3857
198,Twierdza Zamo??,Poland,50.7167,23.25,Europe,0.6953,0.4912,0.7754,0.4073,0.4499,upper_crust,20.8,10,,1.0,False,6.3857
199,Twierdza Kamieniec Podolski,Ukraine,48.6833,26.5667,Europe,0.6953,0.6037,0.7848,0.5556,0.4776,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
200,Twierdza Chocim,Ukraine,48.5167,26.4833,Europe,0.6953,0.6037,0.7857,0.5556,0.4777,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
201,Twierdza Ostroh,Ukraine,50.3333,26.5167,Europe,0.6953,0.4912,0.7764,0.4073,0.45,upper_crust,20.8,10,,1.0,False,6.3857
202,Twierdza Dubno,Ukraine,50.4,25.75,Europe,0.6953,0.4912,0.7764,0.4073,0.45,upper_crust,20.8,10,,1.0,False,6.3857
203,Fort Tiracol,India,15.9333,73.6667,Asia,0.6953,0.4912,0.8712,0.4073,0.4642,upper_crust,20.8,10,,1.0,False,6.3857
204,Fort Chapora,India,15.6,73.7333,Asia,0.6953,0.4912,0.8718,0.4073,0.4643,upper_crust,20.8,10,,1.0,False,6.3857
205,Fort Sinquerim,India,15.5,73.7667,Asia,0.6953,0.4912,0.8721,0.4073,0.4644,upper_crust,20.8,10,,1.0,False,6.3857
206,Fort Gaspar Dias,India,15.5,73.8333,Asia,0.6953,0.4912,0.8723,0.4073,0.4644,upper_crust,20.8,10,,1.0,False,6.3857
207,Fort Mormugao,India,15.4,73.8,Asia,0.6953,0.4912,0.8723,0.4073,0.4644,upper_crust,20.8,10,,1.0,False,6.3857
208,Fort Anjediva,India,14.7667,74.1167,Asia,0.6953,0.4912,0.8741,0.4073,0.4647,upper_crust,20.8,10,,1.0,False,6.3857
209,Fort Sadashivgad,India,14.8167,74.1333,Asia,0.6953,0.4912,0.8741,0.4073,0.4647,upper_crust,20.8,10,,1.0,False,6.3857
210,Fort Devagad,India,16.9833,73.3167,Asia,0.6953,0.4912,0.8686,0.4073,0.4638,upper_crust,20.8,10,,1.0,False,6.3857
211,Fort Ratnagiri,India,16.9833,73.3,Asia,0.6953,0.4912,0.8686,0.4073,0.4638,upper_crust,20.8,10,,1.0,False,6.3857
212,Fort Viziadurg,India,16.5667,73.5667,Asia,0.6953,0.4912,0.87,0.4073,0.464,upper_crust,20.8,10,,1.0,False,6.3857
213,Fort Santo António de Zaire,Angola,-6.1167,12.3667,Africa,0.6953,0.4912,0.9664,0.4073,0.4797,upper_crust,20.8,10,,1.0,False,6.3857
214,Fortaleza de São Miguel de Ambriz,Angola,-7.85,13.1167,Africa,0.6953,0.4912,0.9636,0.4073,0.4792,upper_crust,20.8,10,,1.0,False,6.3857
215,Fort Amherst,Canada,47.5667,-52.6833,Americas,0.6953,0.5946,0.7902,0.4073,0.4722,upper_crust,20.8,10,,1.0,False,6.3857
