ID,Name,Alternative_Names,Country,Region,City,Latitude,Longitude,Construction_Date,Builder,Status,Fort_Type,Notes,Verification_Sources
188,Karlskrona Naval Base,Karlskrona örlogsbas,Sweden,Blekinge,Karlskrona,56.1667,15.5833,1680,Swedish,UNESCO,,Naval star defenses.,Wikipedia
189,Benten Daiba,,Japan,Tokyo,Tokyo Bay,35.6333,139.7667,1853,Tokugawa,Ruins,,Sea battery star.,Wikipedia
190,Cabo de Rama Fort,,India,Goa,Cabo de Rama,15.0833,74.05,Ancient,Various,Ruins,,Coastal bastions.,Wikipedia
191,Corjuem Fort,,India,Goa,Corjuem,15.6667,73.9,1705,Portuguese,Ruins,,River island star.,Wikipedia
192,Colombo Fort,,Sri Lanka,Western,Colombo,6.9333,79.8333,1518,Portuguese,Ruins,,Colonial bastions.,Wikipedia
193,Karlsborg Fortress,Karlsborg,Sweden,Västra Götaland,Karlsborg,58.5167,14.5167,1819-1900,Swedish,Museum,,Central lesser star.,Swedish
194,Festung Wesel,Wesel Citadel,Germany,North Rhine-Westphalia,Wesel,51.6667,6.6167,16851702,Dutch/Prussian,Ruins/Museum,,Rhine river star; lesser-known Prussian ring,German regional forts
195,Festung Minden,Minden Fortress,Germany,North Rhine-Westphalia,Minden,52.2833,8.9167,15291860s,Various (Prussian),Ruins/Park,,Weser river bastions; partial outline remains,Regional lists
196,Festung Saarlouis,Saarlouis Fortress,Germany,Saarland,Saarlouis,49.3167,6.75,16801683,Vauban (French),Ruins/Park,,Octagonal star town remnants,UNESCO Vauban extensions
197,Zitadelle Jülich,Jülich Citadel,Germany,North Rhine-Westphalia,Jülich,50.9167,6.3667,15471559,Renaissance Italian,Museum,,Early Renaissance star; museum focus,German heritage
198,Twierdza Zamo??,Zamo?? Fortress,Poland,Lublin,Zamo??,50.7167,23.25,15781648,Jan Zamoyski / Italian,UNESCO/Museum,,Renaissance ideal star town (lesser bastions),Polish UNESCO
199,Twierdza Kamieniec Podolski,Kamieniec Fortress,Ukraine,Khmelnytskyi,Kamianets-Podilskyi,48.6833,26.5667,11th18th C,Polish / Ottoman,Museum,,River canyon star; multi-era bastions,Ukrainian heritage
200,Twierdza Chocim,Khotyn Fortress,Ukraine,Chernivtsi,Khotyn,48.5167,26.4833,9th18th C,Genoese / Polish / Ottoman,Museum,,Dniester river massive star,Ukrainian lists
201,Twierdza Ostroh,Ostroh Castle-Fort,Ukraine,Rivne,Ostroh,50.3333,26.5167,14th17th C,Polish-Lithuanian,Ruins/Museum,,Lesser-known bastion additions,Regional Ukrainian
202,Twierdza Dubno,Dubno Fortress,Ukraine,Rivne,Dubno,50.4,25.75,15th18th C,Polish,Ruins,,Ikva river star remnants,Ukrainian
203,Fort Tiracol,Tiracol Fort,India,Goa,Tiracol,15.9333,73.6667,16th C,Sawantwadi / Portuguese,Ruins,,Coastal hilltop lesser star,Indian regional
204,Fort Chapora,Chapora Fort,India,Goa,Vagator,15.6,73.7333,1612 / 1717,Adil Shah / Portuguese,Ruins,,Headland bastions; scenic remnants,Indian heritage
205,Fort Sinquerim,Candolim Fort,India,Goa,Candolim,15.5,73.7667,1612,Portuguese,Ruins,,Aguada extension lesser bastion,Goa lists
206,Fort Gaspar Dias,Gaspar Dias,India,Goa,Panaji,15.5,73.8333,16th C,Portuguese,Ruins,,Mandovi river lesser defense,Goa regional
207,Fort Mormugao,Mormugao Fort,India,Goa,Vasco da Gama,15.4,73.8,1624,Portuguese,Ruins,,Harbor lesser bastions,Indian
208,Fort Anjediva,Anjadiv Island Fort,India,Karnataka,Karwar,14.7667,74.1167,1505 / 1760,Portuguese / Maratha,Ruins,,Island star remnants,Karnataka lists
209,Fort Sadashivgad,Sadashivgad,India,Karnataka,Karwar,14.8167,74.1333,16th C,Maratha,Ruins,,Kali river hill bastion,Karnataka
210,Fort Devagad,Devagad Fort,India,Maharashtra,Ratnagiri,16.9833,73.3167,16th C,Maratha,Ruins,,Coastal lesser star,Maharashtra
211,Fort Ratnagiri,Bhagwati Fort,India,Maharashtra,Ratnagiri,16.9833,73.3,16th C,Maratha,Ruins,,Hilltop bastions,Maharashtra
212,Fort Viziadurg,Vijaydurg,India,Maharashtra,Viziadurg,16.5667,73.5667,12th C / 16th C,Maratha / Siddi,Ruins,,Arabian Sea star,Maharashtra
213,Fort Santo António de Zaire,,Angola,Zaire,Soyo,-6.1167,12.3667,17th C,Portuguese,Ruins,,Congo river mouth,Angolan
214,Fortaleza de São Miguel de Ambriz,Ambriz Fort,Angola,Bengo,Ambriz,-7.85,13.1167,19th C,Portuguese,Ruins,,Coastal lesser bastion,Angolan
215,Fort Amherst,,Canada,Newfoundland,St. John's,47.5667,-52.6833,1777,British,Ruins,,Harbor entrance lesser,Canadian
