Unnamed: 0,Name,Alternative Names,Country,Region/Province,City/Town,Latitude,Longitude,Construction Date,Builder/Architect,Current Status,Notes/Description,Verification Source
195,Kasteel de Goede Hoop,Castle of Good Hope,South Africa,Western Cape,Cape Town,-33.9258,18.4275,1666,Dutch,Museum,Repeated.,Wikipedia
196,Fort de Goede Hoop,,Ghana,Western,Senya Beraku,5.3833,-0.4833,1704,Dutch,Ruins,Repeated.,Wikipedia
197,São Jorge da Mina,,Ghana,Central,Elmina,5.0825,-1.3481,1482,Portuguese,UNESCO,Repeated.,Wikipedia
198,Fort Anne,,Canada,Nova Scotia,Annapolis Royal,44.7417,-65.5183,1629,French/British,Museum,Star-shaped.,Wikipedia
199,Fort Beauséjour,,Canada,New Brunswick,Aulac,45.8667,-64.2833,1751,French,Museum,Pentagonal.,Wikipedia
200,Citadel of Quebec,Citadelle de Québec,Canada,Quebec,Quebec City,46.8072,-71.2075,1820,British,Active,Star citadel.,Wikipedia
201,Fort George,Citadel Hill,Canada,Nova Scotia,Halifax,44.6475,-63.5806,1749,British,Museum,Star fort.,Wikipedia
202,Fort George,,Canada,Ontario,Niagara-on-the-Lake,43.25,-79.0667,1796,British,Museum,Reconstruction.,Wikipedia
203,Fort Mississauga,,Canada,Ontario,Niagara-on-the-Lake,43.2667,-79.0833,1814,British,Ruins,Star tower.,Wikipedia
204,Fort Plaisance,,Canada,Newfoundland,Placentia,47.25,-53.9667,1662,French,Ruins,Bastions.,Wikipedia
205,Fort Royal,,Canada,Newfoundland,Placentia,47.25,-53.9667,1687,French,Ruins,Hill bastion.,Wikipedia
206,Fort Saint Louis,,Canada,Newfoundland,Placentia,47.25,-53.9667,1692,French,Ruins,Star site.,Wikipedia
207,Fort William,,Canada,Newfoundland,St. John's,47.5667,-52.7,1698,British,Ruins,Bastion remnants.,Wikipedia
208,Prince of Wales Fort,,Canada,Manitoba,Churchill,58.7972,-94.2136,1731,Hudson's Bay,Ruins,Star-shaped.,Wikipedia
209,Castillo San Salvador de la Punta,,Cuba,Havana,Havana,23.1333,-82.35,1590,Spanish,Museum,Channel defense.,Wikipedia
210,Castillo de los Tres Reyes Magos del Morro,,Cuba,Havana,Havana,23.15,-82.35,1589,Spanish,Museum,Lighthouse star.,Wikipedia
211,Fortaleza de San Carlos de la Cabaña,,Cuba,Havana,Havana,23.15,-82.35,1774,Spanish,Museum,Largest in Americas.,Wikipedia
212,Castillo de la Real Fuerza,,Cuba,Havana,Havana,23.1333,-82.35,1558,Spanish,Museum,Oldest star.,Wikipedia
213,Castillo del Príncipe,,Cuba,Havana,Havana,23.1167,-82.4167,1767,Spanish,Prison,Hill bastion.,Wikipedia
214,Castillo de San Severino,,Cuba,Matanzas,Matanzas,23.05,-81.5667,1693,Spanish,Museum,Slave route site.,Wikipedia
215,Fort San Cristóbal,Castillo San Cristóbal,Puerto Rico,San Juan,San Juan,18.4667,-66.1167,1634,Spanish,UNESCO,Largest Spanish fort.,Wikipedia
216,Castillo San Felipe del Morro,El Morro,Puerto Rico,San Juan,San Juan,18.4667,-66.1239,1539,Spanish,UNESCO,Promontory star.,Wikipedia
217,Fort Conde de Mirasol,Fortín Conde de Mirasol,Puerto Rico,Vieques,Isabel Segunda,18.15,-65.4333,1845,Spanish,Museum,Last Spanish fort.,Wikipedia
218,Fortín San Juan de la Cruz,,Puerto Rico,Toa Baja,Palo Seco,18.4667,-66.1667,1610,Spanish,Ruins,River mouth.,Wikipedia
219,Fort Monroe,,USA,Virginia,Hampton,37.0036,-76.3075,1819,US,Museum,Hexagonal.,Wikipedia
220,Fort Jay,,USA,New York,New York,40.6911,-74.0164,1794,US,Museum,Star island.,Wikipedia
221,Fort Wood,,USA,New York,Liberty Island,40.6892,-74.0445,1808,US,Liberty base,11-point.,Wikipedia
222,Fort Independence,,USA,Massachusetts,Boston,42.34,-71.0117,1834,US,Museum,Pentagonal.,Wikipedia
223,Fort McHenry,,USA,Maryland,Baltimore,39.2633,-76.5797,1798,US,Museum,Anthem site.,Wikipedia
224,Castillo de San Marcos,,USA,Florida,St. Augustine,29.8978,-81.3114,1672,Spanish,Museum,Coquina star.,Wikipedia
225,Fort Prince of Wales,,Canada,Manitoba,Churchill,58.7972,-94.2136,1731,British,Ruins,Arctic star.,Wikipedia (Americas)
226,Fort Barrancas,,USA,Florida,Pensacola,30.35,-87.3,1787,Spanish,Museum,Gulf defense.,Wikipedia
227,Fort Beauséjour,,Canada,New Brunswick,Aulac,45.8667,-64.2833,1751,French,Museum,Repeated.,Wikipedia
228,Fort Caroline,,USA,Florida,Jacksonville,30.3833,-81.5,1564,French,Reconstruction,Early star.,Wikipedia
229,Fort Delgrès,,Guadeloupe (France),Basse-Terre,Basse-Terre,15.9833,-61.7167,1650,French,Museum,Resistance site.,Wikipedia
230,Fort Desaix,,Martinique (France),Fort-de-France,Fort-de-France,14.6,-61.0667,1768,French,Active,Hill star.,Wikipedia
231,Fort Diamant,,French Guiana,Rémire-Montjoly,Rémire-Montjoly,4.8833,-52.2667,1840,French,Ruins,Coastal.,Wikipedia
232,Fort Erie,,Canada,Ontario,Fort Erie,42.9167,-79.0167,1764,British,Museum,War of 1812.,Wikipedia
233,Fort Frederick,,USA,Maryland,Big Pool,39.6167,-78.0,1755,British,Park,French-Indian War.,Wikipedia
234,Fort Gaines,,USA,Alabama,Dauphin Island,30.25,-88.0833,1821,US,Museum,Civil War.,Wikipedia
235,Fort Jackson,,USA,Louisiana,Plaquemines,29.35,-89.45,1822,US,Ruins,Mississippi defense.,Wikipedia
236,Fort Macomb,,USA,Louisiana,New Orleans,30.0667,-89.8,1822,US,Ruins,Lake Borgne.,Wikipedia
237,Fort Macon,,USA,North Carolina,Atlantic Beach,34.7,-76.6833,1826,US,Park,Pentagonal.,Wikipedia
238,Fort Mifflin,,USA,Pennsylvania,Philadelphia,39.8667,-75.2167,1771,British/US,Museum,Revolutionary.,Wikipedia
239,Fort Morgan,,USA,Alabama,Gulf Shores,30.2333,-88.0167,1819,US,Museum,Mobile Bay.,Wikipedia
240,Fort Pike,,USA,Louisiana,New Orleans,30.1667,-89.7333,1819,US,Ruins,Rigolets pass.,Wikipedia
241,Fort Pulaski,,USA,Georgia,Savannah,32.0333,-80.9,1829,US,Museum,Brick star.,Wikipedia; Starforts.com
242,Fort San Carlos,,USA,Florida,Fernandina Beach,30.6667,-81.4667,1816,Spanish,Museum,Amelia Island.,Wikipedia
243,Fort Sumter,,USA,South Carolina,Charleston,32.75,-79.8667,1829,US,Museum,Civil War start.,Wikipedia
244,Citadelle de Besançon,Citadel of Besançon,France,Franche-Comté,Besançon,47.2361,6.0269,1669-1688,Vauban,UNESCO/Museum,Massive star citadel; key UNESCO Vauban site.,UNESCO maps; Wikipedia
245,La Citadelle dArras,Citadel of Arras,France,Hauts-de-France,Arras,50.2825,2.7589,1668-1670,Vauban,Museum,Hilltop bastion; UNESCO group.,UNESCO
246,La Citadelle de Blaye,Citadel of Blaye,France,Nouvelle-Aquitaine,Blaye,45.1217,-0.6733,1685-1689,Vauban,UNESCO/Museum,Gironde estuary defense.,UNESCO
247,LEnceinte de Briançon,Briançon fortifications,France,Provence-Alpes-Côte dAzur,Briançon,44.8958,6.6433,1692-1700,Vauban,UNESCO,Mountain forts + Asfeld bridge.,UNESCO
248,La Place forte de Longwy,Longwy fortifications,France,Grand Est,Longwy,49.5167,5.7667,1679-1690,Vauban,UNESCO,Neuf-Brisach style; border town.,UNESCO
249,La Place forte de Mont-Dauphin,Mont-Dauphin,France,Provence-Alpes-Côte dAzur,Mont-Dauphin,44.6667,6.6167,1693,Vauban,UNESCO,Alpine star; mountain battery.,UNESCO
250,Saint-Martin-de-Ré,Citadel of Saint-Martin-de-Ré,France,Nouvelle-Aquitaine,Saint-Martin-de-Ré,46.2,-1.3667,1681,Vauban,UNESCO/Museum,Island citadel; prison history.,UNESCO
251,Villefranche-de-Conflent,Villefranche fortifications,France,Occitanie,Villefranche-de-Conflent,42.5833,2.3667,1681,Vauban,UNESCO,Walled town + forts.,UNESCO
252,Neuf-Brisach,Brisach,France,Grand Est,Neuf-Brisach,48.0178,7.5281,1698-1703,Vauban,UNESCO,Octagonal ideal star city.,UNESCO
253,Fort de la Prée,La Prée,France,Nouvelle-Aquitaine,Île de Ré,46.2,-1.3667,1625,French,Ruins,Early star; Vauban influence.,Wikipedia
254,Fort des Salettes,Salettes,France,Hautes-Alpes,Briançon,44.8833,6.65,1700,Vauban,Ruins,Mountain bastion.,UNESCO
255,Fort des Trois-Têtes,Trois-Têtes,France,Hautes-Alpes,Briançon,44.8833,6.65,1724,Vauban,Museum,Large complex.,UNESCO
256,Fort du Randouillet,Randouillet,France,Hautes-Alpes,Briançon,44.8833,6.65,1730s,Vauban,Ruins,Communication Y.,UNESCO
257,Fort du Dauphin,Dauphin,France,Hautes-Alpes,Briançon,44.8833,6.65,1692,Vauban,Ruins,Asfeld bridge link.,UNESCO
258,Citadelle de Lille,Citadel of Lille,France,Hauts-de-France,Lille,50.6333,3.0667,1667,Vauban,Active,Queen of Citadels.,Wikipedia
259,Citadelle de Lille,,France,Hauts-de-France,Lille,50.6333,3.0667,1667,Vauban,Active,Repeated for UNESCO.,UNESCO
260,Fort de l'Étoile,Étoile,France,Provence-Alpes-Côte dAzur,Sisteron,44.2,5.95,1590s,Vauban upgrades,Ruins,Hill star.,Wikipedia
261,Fort Barraux,Barraux,France,Auvergne-Rhône-Alpes,Barraux,45.4167,5.9667,1598,Lesdiguières/Vauban,Museum,Alpine defense.,Wikipedia
262,Fort de Joux,Château de Joux,France,Bourgogne-Franche-Comté,La Cluse-et-Mijoux,46.8667,6.3667,11th C (Vauban 1678),Vauban,Museum,Cliff bastions.,Wikipedia
263,Fort de Douaumont,Douaumont,France,Grand Est,Verdun,49.3167,5.4667,1885,French,Ruins,WWI site; bastion style.,Wikipedia
264,Fort de Vaux,Vaux,France,Grand Est,Verdun,49.3,5.4667,1880s,French,Ruins,Verdun complex.,Wikipedia
265,Kastellet,Citadel of Copenhagen,Denmark,Capital,Copenhagen,55.6911,12.5953,1662,Dutch influence,Active,Iconic 5-point star.,Wikipedia
266,Frederikstad Fortress,,Norway,Østfold,Fredrikstad,59.2167,10.95,1660,Dutch,Museum,Star town layout.,Wikipedia
267,Kongsvinger Fortress,,Norway,Innlandet,Kongsvinger,60.2,12.0,1682,Norwegian,Museum,Hilltop bastions.,Wikipedia
268,Kristiansten Fortress,,Norway,Trøndelag,Trondheim,63.4333,10.4167,1681,Norwegian,Museum,Post-fire defense.,Wikipedia
269,Vardøhus Fortress,,Norway,Finnmark,Vardø,70.3667,31.0833,1734,Norwegian,Museum,Northernmost.,Wikipedia
270,Daugavpils Fortress,Dinaburg,Latvia,Latgale,Daugavpils,55.8833,26.5,1810,Russian,Museum,Large bastion complex.,Wikipedia
271,Riga Bastions,,Latvia,Riga,Riga,56.95,24.1167,17th C,Swedish,Park,Outline remnants.,Wikipedia
272,Komárno Star Fort,,Slovakia,Nitra,Komárno,47.7667,18.1167,16th-19th C,Habsburg,Museum,Danube star.,Wikipedia
273,Petersberg Citadel,,Germany,Thuringia,Erfurt,50.9833,11.0333,1665,Mainz,Museum,Baroque star.,Wikipedia
274,Mainz Citadel,Zitadelle Mainz,Germany,Rhineland-Palatinate,Mainz,50.0,8.2667,1620,Mainz,Museum,Rhine defense.,Wikipedia
275,Fort Belgica,,Indonesia,Maluku,Banda Neira,-4.5167,129.8833,1611,Dutch,Museum,Hilltop 5-point star.,Wikipedia; Starforts.com
276,Fort Oranje,,Indonesia,Maluku,Ternate,-0.7833,127.3833,1607,Dutch,Ruins,Volcanic island bastion.,Wikipedia
277,Fort Marlborough,,Indonesia,Bengkulu,Bengkulu,-3.7833,-102.25,1714,British,Museum,British East India star.,Wikipedia
278,Fort Cornwallis,,Malaysia,Penang,George Town,5.4167,100.3333,1786,British,Museum,Largest in Malaysia.,Wikipedia
279,Gory?kaku,,Japan,Hokkaido,Hakodate,41.8,140.75,1855,Tokugawa,Park,Pentagonal Western-style star.,Wikipedia
280,Tatsuoka Castle,,Japan,Nagano,Saku,36.2,138.4833,1864,Tokugawa,Ruins,Late Edo star castle.,Wikipedia
281,Shiry?kaku,,Japan,Hokkaido,Hakodate,41.8,140.75,1860s,Tokugawa,Ruins,Quadrilateral bastion.,Wikipedia
282,Manjarabad Fort,,India,Karnataka,Sakleshpur,12.9667,75.75,1792,Tipu Sultan,Ruins,Octagonal star.,Wikipedia
283,Fort St. George,White Town,India,Tamil Nadu,Chennai,13.0833,80.2833,1639,British,Active,Early British bastion.,Wikipedia
284,Fort William,,India,West Bengal,Kolkata,22.5667,88.35,1696,British,Active,Massive star complex.,Wikipedia
285,Fortaleza de Nossa Senhora da Graça,Elvas Star Fort,Portugal,Alentejo,Elvas,38.8833,-7.1667,1763,Portuguese,UNESCO/Museum,Hilltop star; resonance candidate.,Wikipedia; UNESCO
286,Forte de São João Baptista,Ibo Island,Mozambique,Cabo Delgado,Ibo,-12.3333,40.5833,1791,Portuguese,Ruins,Island bastion.,Wikipedia
287,Forte de Santo António,Ibo,Mozambique,Cabo Delgado,Ibo,-12.3333,40.5833,1791,Portuguese,Ruins,Twin fort.,Wikipedia
288,Forte de São José,Ibo,Mozambique,Cabo Delgado,Ibo,-12.3333,40.5833,1761,Portuguese,Ruins,Small star.,Wikipedia
289,Forte de São Lourenço,Ilha de Moçambique,Mozambique,Sofala,Ilha de Moçambique,-15.0333,40.7333,1695,Portuguese,Ruins,Addition to main.,Wikipedia
290,Fortaleza de São Miguel,Luanda,Angola,Luanda,Luanda,-8.8083,13.2233,1576,Portuguese,Museum,Early colonial star.,Wikipedia
291,Fortaleza de São Pedro da Barra,Luanda,Angola,Luanda,Luanda,-8.8,13.2333,1703,Portuguese,Ruins,Harbor bastion.,Wikipedia
292,Castle of Good Hope,,South Africa,Western Cape,Cape Town,-33.9258,18.4275,1666,Dutch,Museum,Pentagonal star.,Wikipedia
293,Castillo de San Felipe del Morro,El Morro,Puerto Rico,San Juan,San Juan,18.4672,-66.1239,1539-1787,Spanish,UNESCO,Promontory bastions.,Wikipedia
294,Castillo San Cristóbal,,Puerto Rico,San Juan,San Juan,18.4667,-66.1167,1634,Spanish,UNESCO,Largest Spanish.,Wikipedia
295,Fort Anne,,Canada,Nova Scotia,Annapolis Royal,44.7417,-65.5183,1629,French/British,Museum,Star-shaped.,Wikipedia
296,Fort Beauséjour,,Canada,New Brunswick,Aulac,45.8667,-64.2833,1751,French,Museum,Pentagonal.,Wikipedia
297,Fort George,Citadel Hill,Canada,Nova Scotia,Halifax,44.6475,-63.5806,1749,British,Museum,Star fort.,Wikipedia
298,Fort Prince of Wales,,Canada,Manitoba,Churchill,58.7972,-94.2136,1731,Hudson's Bay,Ruins,Arctic star.,Wikipedia
299,Fort McHenry,,USA,Maryland,Baltimore,39.2633,-76.5797,1798,US,Museum,War of 1812.,Wikipedia
300,Fort Pulaski,,USA,Georgia,Savannah,32.0333,-80.9,1829,US,Museum,Brick bastion.,Wikipedia
301,Petersberg Citadel,Zitadelle Petersberg,Germany,Thuringia,Erfurt,50.9833,11.0333,1665,Electorate of Mainz,Museum,Baroque star citadel; UNESCO tentative links.,Wikipedia; Starforts.com
302,Mainz Citadel,Zitadelle Mainz,Germany,Rhineland-Palatinate,Mainz,50.0,8.2667,1620,Electorate of Mainz,Museum,Rhine defense bastions.,Wikipedia
303,Festung Ehrenbreitstein,Ehrenbreitstein Fortress,Germany,Rhineland-Palatinate,Koblenz,50.3667,7.6167,1817-1828,Prussian,Museum,Massive star complex; UNESCO Rhine.,Wikipedia
304,Festung Koblenz,Koblenz Fortress,Germany,Rhineland-Palatinate,Koblenz,50.35,7.6,19th C,Prussian,Ruins/Museum,Part of Koblenz ring.,Wikipedia
305,Festung Ulm,Ulm Fortress,Germany,Baden-Württemberg,Ulm,48.4,9.9833,1842-1859,Württemberg,Ruins,Large polygonal bastions.,Wikipedia
306,Festung Ingolstadt,Ingolstadt Fortress,Germany,Bavaria,Ingolstadt,48.7667,11.4333,1539-1860s,Bavarian,Museum,Extensive star ring.,Wikipedia
307,Festung Germersheim,Germersheim Fortress,Germany,Rhineland-Palatinate,Germersheim,49.2167,8.3667,1834-1852,Bavarian,Ruins,Rhine bastions.,Wikipedia
308,Festung Landau,Landau Fortress,Germany,Rhineland-Palatinate,Landau,49.2,8.1167,1688-1690,French (Vauban style),Ruins,Border star.,Wikipedia
309,Festung Rastatt,Rastatt Fortress,Germany,Baden-Württemberg,Rastatt,48.85,8.2,1689-1693,French,Museum,Baroque bastions.,Wikipedia
310,Zitadelle Spandau,Spandau Citadel,Germany,Berlin,Berlin,52.5333,13.2,1559-1594,Brandenburg,Museum,Renaissance star.,Wikipedia
311,Festung Küstrin,Kostrzyn Fortress,Poland,Lubusz,Kostrzyn nad Odr?,52.5833,14.65,1535-1553,Brandenburg,Ruins,Oder river star.,Wikipedia
312,Festung Silberberg,Srebrna Góra Fortress,Poland,Lower Silesia,Srebrna Góra,50.5833,16.65,1765-1777,Prussian,Museum,Mountain bastion.,Wikipedia
313,Twierdza K?odzko,K?odzko Fortress,Poland,Lower Silesia,K?odzko,50.4333,16.65,1660s-18th C,Prussian,Museum,Hilltop star.,Wikipedia
314,Twierdza Nysa,Nysa Fortress,Poland,Opole,Nysa,50.4667,17.3333,1663-1669,Habsburg/Prussian,Ruins,Large bastion ring.,Wikipedia
315,Twierdza Modlin,Modlin Fortress,Poland,Masovian,Nowy Dwór Mazowiecki,52.45,20.6833,1806-1812,French/Napoleonic,Museum,Vistula star.,Wikipedia
316,Twierdza Przemy?l,Przemy?l Fortress,Poland,Subcarpathian,Przemy?l,49.7833,22.7667,19th C,Austro-Hungarian,Ruins/Museum,Ring of forts.,Wikipedia
317,Twierdza Boyen,Boyen Fortress,Poland,Warmian-Masurian,Gi?ycko,54.0333,21.7667,1844-1856,Prussian,Museum,Masurian lakes star.,Wikipedia
318,Twierdza Pozna?,Pozna? Fortress,Poland,Greater Poland,Pozna?,52.4,16.9333,1828-1842,Prussian,Ruins,Warta river bastions.,Wikipedia
319,Twierdza Zegrze,Zegrze Fortress,Poland,Masovian,Zegrze,52.4667,21.0333,1883-1894,Russian,Ruins,Bug river defense.,Wikipedia
320,Fredrikstad Fortress,,Norway,Østfold,Fredrikstad,59.2167,10.95,1660,Dutch influence,Museum,Star town.,Wikipedia
321,Fredriksvern,,Norway,Vestfold,Stavern,59.0,10.0333,1750,Danish-Norwegian,Museum,Naval star base.,Wikipedia
322,Kongsvinger Fortress,,Norway,Innlandet,Kongsvinger,60.2,12.0,1682,Norwegian,Museum,Hilltop bastions.,Wikipedia
323,Kristiansten Fortress,,Norway,Trøndelag,Trondheim,63.4333,10.4167,1681,Norwegian,Museum,Post-fire star.,Wikipedia
324,Vardøhus Fortress,,Norway,Finnmark,Vardø,70.3667,31.0833,1734,Norwegian,Museum,Northernmost star.,Wikipedia
325,Akershus Fortress,Akershus Festning,Norway,Oslo,Oslo,59.9069,10.7364,1299 (bastions 17th C),Norwegian,Museum,Renaissance upgrades.,Wikipedia
326,Bohus Fortress,Bohus fästning,Sweden,Västra Götaland,Kungälv,57.8667,11.9833,1308 (bastions 17th C),Norwegian/Swedish,Ruins,Göta river star.,Wikipedia
327,Varberg Fortress,Varbergs fästning,Sweden,Halland,Varberg,57.1,12.25,13th C (bastions 17th C),Danish/Swedish,Museum,Coastal bastions.,Wikipedia
328,Karlskrona Naval Base,Karlskrona örlogsbas,Sweden,Blekinge,Karlskrona,56.1667,15.5833,1680,Swedish,UNESCO,Naval star defenses.,Wikipedia
329,Landskrona Citadel,,Sweden,Skåne,Landskrona,55.8833,12.85,1549,Danish,Museum,Star elements.,Wikipedia
330,Tatsuoka Castle,,Japan,Nagano,Saku,36.2,138.4833,1864,Tokugawa,Ruins,Late Edo star castle.,Wikipedia
331,Shiry?kaku,,Japan,Hokkaido,Hakodate,41.8,140.75,1860s,Tokugawa,Ruins,Quadrilateral bastion.,Wikipedia
332,Hekirichi Bastion Fort,,Japan,Hokkaido,Hokuto,41.8167,140.65,1850s,Tokugawa,Ruins,Bastion site.,Wikipedia
333,Benten Daiba,,Japan,Tokyo,Tokyo Bay,35.6333,139.7667,1853,Tokugawa,Ruins,Sea battery star.,Wikipedia
334,Fort St. George,,India,Tamil Nadu,Chennai,13.0833,80.2833,1639,British,Active,Early bastion.,Wikipedia
335,Fort William,,India,West Bengal,Kolkata,22.5667,88.35,1696,British,Active,Massive star.,Wikipedia
336,Bihu Loukon,,India,Manipur,Imphal,24.8167,93.95,Ancient,Local,Ruins,Star-shaped.,Wikipedia
337,Cabo de Rama Fort,,India,Goa,Cabo de Rama,15.0833,74.05,Ancient,Various,Ruins,Coastal bastions.,Wikipedia
338,Corjuem Fort,,India,Goa,Corjuem,15.6667,73.9,1705,Portuguese,Ruins,River island star.,Wikipedia
339,Colombo Fort,,Sri Lanka,Western,Colombo,6.9333,79.8333,1518,Portuguese,Ruins,Colonial bastions.,Wikipedia
340,Forte de São João Batista do Brum,,Brazil,Pernambuco,Recife,-8.05,-34.8833,1629,Portuguese,Museum,Bastions.,Wikipedia
341,Forte do Presépio,,Brazil,Pará,Belém,-1.45,-48.5,1616,Portuguese,Museum,Amazon star.,Wikipedia
342,Forte Príncipe da Beira,,Brazil,Rondônia,Costa Marques,-12.4167,-64.4167,1776,Portuguese,Ruins,Remote star.,Wikipedia
343,Fortaleza de Nossa Senhora da Assunção,,Brazil,Ceará,Fortaleza,-3.7167,-38.5,1649,Dutch/Portuguese,Museum,Two bastions.,Wikipedia
344,Forte de Nossa Senhora dos Remédios,,Brazil,Pernambuco,Fernando de Noronha,-3.8333,-32.4167,1737,Portuguese,Ruins,Island bastion.,Wikipedia
345,Forte de Santo Inácio de Tamandaré,,Brazil,Pernambuco,Tamandaré,-8.75,-35.1,1690,Portuguese,Ruins,Coastal star.,Wikipedia
346,Forte do Barbalho,,Brazil,Bahia,Salvador,-12.9667,-38.5167,1600,Portuguese,Museum,Salvador defense.,Wikipedia
347,Forte de São Lourenço,,Brazil,Bahia,Itaparica,-12.8833,-38.6833,1710,Portuguese,Ruins,Island fort.,Wikipedia
348,Fortaleza de Santa Cruz da Barra,,Brazil,Rio de Janeiro,Niterói,-22.8833,-43.1167,1578,Portuguese,Museum,Guanabara Bay.,Wikipedia
349,Fortaleza de Santo Antônio de Ratones,,Brazil,Santa Catarina,Florianópolis,-27.5833,-48.5667,1740,Portuguese,Ruins,Island star.,Wikipedia
350,Festung Ehrenbreitstein,Ehrenbreitstein,Germany,Rhineland-Palatinate,Koblenz,50.3667,7.6167,1817-1828,Prussian,Museum,Massive star; Rhine UNESCO peripheral.,Fortress Earth; regional lists
351,Festung Koblenz,Koblenz Ring,Germany,Rhineland-Palatinate,Koblenz,50.35,7.6,19th C,Prussian,Ruins,Lesser-known ring bastions.,Regional German lists
352,Festung Ulm,Ulm Fortress,Germany,Baden-Württemberg,Ulm,48.4,9.9833,1842-1859,Württemberg,Ruins,Polygonal star ring.,Wikipedia regional; Starforts extensions
353,Festung Ingolstadt,Ingolstadt,Germany,Bavaria,Ingolstadt,48.7667,11.4333,1539-1860s,Bavarian,Museum,Extensive lesser-known star.,German fort lists
354,Festung Germersheim,Germersheim,Germany,Rhineland-Palatinate,Germersheim,49.2167,8.3667,1834-1852,Bavarian,Ruins,Rhine lesser bastions.,Regional
355,Festung Landau,Landau,Germany,Rhineland-Palatinate,Landau,49.2,8.1167,1688-1690,French style,Ruins,Border star ruins.,German
356,Festung Rastatt,Rastatt,Germany,Baden-Württemberg,Rastatt,48.85,8.2,1689-1693,French,Museum,Baroque lesser-known.,Regional
357,Zitadelle Spandau,Spandau,Germany,Berlin,Berlin,52.5333,13.2,1559-1594,Brandenburg,Museum,Renaissance star.,German lists
358,Festung Küstrin,Kostrzyn,Poland,Lubusz,Kostrzyn nad Odr?,52.5833,14.65,1535-1553,Brandenburg,Ruins,Oder river lesser star.,Polish lists
359,Festung Silberberg,Srebrna Góra,Poland,Lower Silesia,Srebrna Góra,50.5833,16.65,1765-1777,Prussian,Museum,Mountain bastion ruins.,Polish
360,Twierdza K?odzko,K?odzko,Poland,Lower Silesia,K?odzko,50.4333,16.65,1660s-18th C,Prussian,Museum,Hilltop lesser star.,Polish
361,Twierdza Nysa,Nysa,Poland,Opole,Nysa,50.4667,17.3333,1663-1669,Habsburg/Prussian,Ruins,Large ring lesser-known.,Polish
362,Twierdza Modlin,Modlin,Poland,Masovian,Nowy Dwór Mazowiecki,52.45,20.6833,1806-1812,Napoleonic,Museum,Vistula star ruins.,Polish
363,Twierdza Przemy?l,Przemy?l Ring,Poland,Subcarpathian,Przemy?l,49.7833,22.7667,19th C,Austro-Hungarian,Ruins,Ring of lesser forts.,Polish
364,Twierdza Boyen,Boyen,Poland,Warmian-Masurian,Gi?ycko,54.0333,21.7667,1844-1856,Prussian,Museum,Lakes star.,Polish
365,Twierdza Pozna?,Pozna?,Poland,Greater Poland,Pozna?,52.4,16.9333,1828-1842,Prussian,Ruins,Warta lesser bastions.,Polish
366,Twierdza Zegrze,Zegrze,Poland,Masovian,Zegrze,52.4667,21.0333,1883-1894,Russian,Ruins,Bug river lesser.,Polish
367,Fredriksvern,,Norway,Vestfold,Stavern,59.0,10.0333,1750,Danish-Norwegian,Museum,Naval lesser star.,Norwegian lists
368,Akershus Fortress,Akershus,Norway,Oslo,Oslo,59.9069,10.7364,1299 (bastions 17th C),Norwegian,Museum,Renaissance upgrades.,Norwegian
369,Bohus Fortress,Bohus fästning,Sweden,Västra Götaland,Kungälv,57.8667,11.9833,1308 (bastions 17th C),Swedish,Ruins,Göta lesser star.,Swedish
370,Varberg Fortress,Varbergs fästning,Sweden,Halland,Varberg,57.1,12.25,13th C (bastions 17th C),Swedish,Museum,Coastal lesser.,Swedish
371,Karlsborg Fortress,Karlsborg,Sweden,Västra Götaland,Karlsborg,58.5167,14.5167,1819-1900,Swedish,Museum,Central lesser star.,Swedish
372,Daugavgr?va Fortress,,Latvia,Riga,Riga,57.05,24.0333,1600,Swedish,Ruins,River mouth lesser.,Baltic lists
373,Daugavpils Fortress,Dinaburg,Latvia,Latgale,Daugavpils,55.8833,26.5,1810,Russian,Museum,Large lesser complex.,Latvian
374,Benten Daiba,,Japan,Tokyo,Tokyo Bay,35.6333,139.7667,1853,Tokugawa,Ruins,Sea battery lesser star.,Japanese lists
375,Cabo de Rama Fort,,India,Goa,Cabo de Rama,15.0833,74.05,Ancient,Various,Ruins,Coastal lesser bastions.,Indian
376,Corjuem Fort,,India,Goa,Corjuem,15.6667,73.9,1705,Portuguese,Ruins,River island lesser star.,Indian
377,Colombo Fort,,Sri Lanka,Western,Colombo,6.9333,79.8333,1518,Portuguese,Ruins,Colonial lesser bastions.,Sri Lankan
378,Fort Marlborough,,Indonesia,Bengkulu,Bengkulu,-3.7833,-102.25,1714,British,Museum,Lesser British star.,Indonesian
379,Fort Nassau,,Indonesia,Maluku,Banda,-4.5167,129.8833,1609,Dutch,Ruins,Spice island lesser.,Indonesian
380,Fort Revenge,,Indonesia,Maluku,Banda,-4.5167,129.8833,1616,English/Dutch,Ruins,Rivalry lesser bastion.,Indonesian
381,Fort Hollandia,,Indonesia,Maluku,Banda,-4.5167,129.8833,1624,Dutch,Ruins,Banda series lesser.,Indonesian
382,Fort Victoria,,Indonesia,Maluku,Ambon,-3.7,128.1833,1775,Dutch,Ruins,Island lesser bastion.,Indonesian
383,Fort Amsterdam,,Indonesia,Maluku,Ambon,-3.7,128.1833,1637,Dutch,Ruins,Nearby lesser Victoria.,Indonesian
384,Forte de São João Batista do Brum,,Brazil,Pernambuco,Recife,-8.05,-34.8833,1629,Portuguese,Museum,Lesser bastions.,Brazilian
